# wavelength (nm)	absorption coefficient (/cm)	n	k
970	1.1222e+02	3.583	8.6619e-04
975	1.0306e+02	3.581	7.9966e-04
980	9.4401e+01	3.579	7.3620e-04
985	8.6193e+01	3.577	6.7561e-04
990	7.8597e+01	3.575	6.1920e-04
995	7.1059e+01	3.573	5.6264e-04
1000	6.3725e+01	3.572	5.0711e-04
1005	5.7345e+01	3.570	4.5862e-04
1010	5.1059e+01	3.568	4.1038e-04
1015	4.5472e+01	3.566	3.6728e-04
1020	4.0214e+01	3.565	3.2641e-04
1025	3.5232e+01	3.563	2.8738e-04
1030	3.0530e+01	3.562	2.5024e-04
1035	2.6383e+01	3.560	2.1730e-04
1040	2.2642e+01	3.559	1.8738e-04
1045	1.9311e+01	3.557	1.6058e-04
1050	1.6349e+01	3.556	1.3661e-04
1055	1.3797e+01	3.554	1.1583e-04
1060	1.1518e+01	3.553	9.7153e-05
1065	9.6768e+00	3.551	8.2011e-05
1070	8.3600e+00	3.550	7.1183e-05
1075	7.2899e+00	3.548	6.2362e-05
1080	6.3705e+00	3.547	5.4750e-05
1085	5.5500e+00	3.546	4.7919e-05
1090	4.8169e+00	3.545	4.1782e-05
1095	4.1899e+00	3.543	3.6510e-05
1100	3.6328e+00	3.542	3.1800e-05
1105	3.1710e+00	3.541	2.7883e-05
1110	2.7341e+00	3.540	2.4151e-05
1115	2.3596e+00	3.538	2.0937e-05
1120	2.0215e+00	3.537	1.8017e-05
1125	1.7194e+00	3.536	1.5392e-05
1130	1.4569e+00	3.535	1.3100e-05
1135	1.2047e+00	3.533	1.0881e-05
1140	1.0096e+00	3.532	9.1593e-06
1145	8.2590e-01	3.531	7.5253e-06
1150	6.6349e-01	3.530	6.0718e-06
1155	5.1602e-01	3.529	4.7428e-06
1160	3.9998e-01	3.528	3.6922e-06
1165	3.0196e-01	3.527	2.7994e-06
1170	2.0773e-01	3.526	1.9340e-06
1175	1.2383e-01	3.525	1.1579e-06
1180	6.7304e-02	3.524	6.3200e-07
1185	3.9128e-02	3.523	3.6897e-07
1190	2.7277e-02	3.522	2.5830e-07
1195	2.0804e-02	3.521	1.9783e-07
1200	1.6192e-02	3.520	1.5462e-07
1205	1.2417e-02	3.519	1.1906e-07
1210	9.3769e-03	3.518	9.0289e-08
1215	7.1986e-03	3.517	6.9601e-08
1220	5.5302e-03	3.517	5.3689e-08
1225	4.2012e-03	3.516	4.0954e-08
1230	3.1246e-03	3.515	3.0583e-08
1235	2.3405e-03	3.514	2.3002e-08
1240	1.6486e-03	3.513	1.6268e-08
1245	1.1008e-03	3.512	1.0906e-08
1250	6.8449e-04	3.511	6.8088e-09
1255	4.1806e-04	3.510	4.1752e-09
1260	2.6968e-04	3.509	2.7040e-09
1265	1.9244e-04	3.508	1.9372e-09
1270	1.4352e-04	3.508	1.4505e-09
1275	1.1018e-04	3.507	1.1179e-09
1280	8.4868e-05	3.506	8.6446e-10
1285	6.5455e-05	3.505	6.6932e-10
1290	5.0358e-05	3.505	5.1695e-10
1295	3.9369e-05	3.504	4.0571e-10
1300	3.0668e-05	3.503	3.1726e-10
1305	2.3606e-05	3.502	2.4514e-10
1310	1.8065e-05	3.502	1.8832e-10
1315	1.3650e-05	3.501	1.4284e-10
1320	9.9550e-06	3.500	1.0457e-10
1325	7.1677e-06	3.499	7.5577e-11
1330	4.8086e-06	3.499	5.0893e-11
1335	3.1919e-06	3.498	3.3909e-11
1340	2.0841e-06	3.497	2.2224e-11
1345	1.5332e-06	3.496	1.6410e-11
1350	1.1974e-06	3.496	1.2864e-11
1355	8.5519e-07	3.495	9.2213e-12
1360	7.1819e-07	3.495	7.7726e-12
1365	5.6760e-07	3.494	6.1655e-12
1370	4.4304e-07	3.494	4.8300e-12
1375	3.5880e-07	3.493	3.9259e-12
1380	2.9754e-07	3.492	3.2675e-12
1385	2.2860e-07	3.491	2.5195e-12
1390	1.9508e-07	3.491	2.1578e-12
1395	1.4251e-07	3.490	1.5820e-12
1400	1.1655e-07	3.490	1.2985e-12
1405	9.7268e-08	3.489	1.0875e-12
1410	6.7271e-08	3.489	7.5480e-13
1415	6.8408e-08	3.488	7.7029e-13
1420	4.7564e-08	3.488	5.3747e-13
1425	3.1547e-08	3.487	3.5773e-13
1430	2.2514e-08	3.487	2.5620e-13
1435	2.6851e-08	3.486	3.0663e-13
1440	1.5165e-08	3.486	1.7378e-13
1445	1.3752e-08	3.485	1.5813e-13
1450	1.1949e-08	3.485	1.3788e-13
